speed_mean,speed_max,speed_std,throttle_mean,throttle_max,throttle_full_pct,brake_mean,brake_applications,rpm_mean,rpm_max,gear_mean,gear_shifts,drs_active_pct,telemetry_points,lap_duration,lap_number,lap_time_seconds,compound,tyre_life,wear_total,stint_id,wear_cumulative,degradation_normalized,baseline_time,predicted_lap_time,scenario
153.73429480533937,271.0,66.26043450855711,45.55468603824454,100.0,30.0,0.26071428571428573,146,9267.802048592162,11708.0,3.7303571428571427,40,0.0,560,76.8,42.0,76.8,MEDIUM,42.0,70467.21861325992,1,2810625.72807109,0.9999999999993783,78.129,82.03544999999758,Baseline (Standard Tire)
152.89520332800686,270.0,65.44808120261368,46.21718544913692,100.0,30.06872852233677,0.24742268041237114,144,9294.130849619498,11868.0,3.6924398625429555,42,0.0,582,76.963,43.0,76.963,MEDIUM,43.0,71337.97303669318,1,2881963.7011077832,0.9999999999996954,78.129,82.03544999999882,Baseline (Standard Tire)
155.65102139741649,271.0,64.15332326620921,50.022054579174934,100.0,32.87435456110155,0.22719449225473323,132,9431.11136819651,11769.0,3.76592082616179,40,0.0,581,76.722,44.0,76.722,MEDIUM,44.0,68592.06645782535,1,2950555.7675656085,0.9999999999998466,78.129,82.0354499999994,Baseline (Standard Tire)
153.511527430018,273.0,64.97166562482481,47.167011785035285,100.0,32.685512367491164,0.2703180212014134,153,9360.521409410992,11806.0,3.685512367491166,39,0.0,566,76.701,45.0,76.701,MEDIUM,45.0,68951.63431344715,1,3019507.4018790554,0.9999999999999231,78.129,82.03544999999971,Baseline (Standard Tire)
154.92108924016594,272.0,66.41470296820721,48.447862129865676,100.0,32.666666666666664,0.24833333333333332,149,9352.046361938454,11914.0,3.73,38,0.0,600,77.075,46.0,77.075,MEDIUM,46.0,76378.39547497692,1,3095885.7973540323,0.9999999999999641,78.129,82.03544999999987,Baseline (Standard Tire)
154.1400923958585,273.0,65.62475972110563,48.77267007452903,100.0,32.76450511945392,0.24232081911262798,142,9405.295417678823,12538.0,3.7013651877133107,39,0.0,586,77.16,47.0,77.16,MEDIUM,47.0,72515.3773553592,1,3168401.174709392,0.9999999999999827,78.129,82.03544999999994,Baseline (Standard Tire)
155.07135887177037,273.0,66.2292859294875,47.965178129278364,100.0,32.77870216306156,0.2628951747088186,158,9366.797202453501,11895.0,3.7321131447587352,38,0.0,601,77.065,48.0,77.065,MEDIUM,48.0,76471.02879836684,1,3244872.2035077587,0.9999999999999919,78.129,82.03544999999997,Baseline (Standard Tire)
153.29246827823957,273.0,66.79842003408537,46.78773243835758,100.0,31.62251655629139,0.24172185430463577,146,9281.254606340563,11752.0,3.6788079470198674,39,0.0,604,77.428,49.0,77.428,MEDIUM,49.0,77253.11897212078,1,3322125.3224798795,0.9999999999999962,78.129,82.03545,Baseline (Standard Tire)
154.1386387877665,274.0,66.94643680829198,48.2776162853345,100.0,31.365935919055648,0.23946037099494097,142,9341.25242248935,11792.0,3.730185497470489,40,0.0,593,77.314,50.0,77.314,MEDIUM,50.0,76263.7575341444,1,3398389.080014024,0.9999999999999982,78.129,82.03545,Baseline (Standard Tire)
152.37140601149406,272.0,65.60337910167699,46.935200368042615,100.0,30.28169014084507,0.2676056338028169,152,9322.13485622658,11724.0,3.6549295774647885,40,0.0,568,77.427,51.0,77.427,MEDIUM,51.0,70348.54365706339,1,3468737.623671087,0.9999999999999991,78.129,82.03545000000001,Baseline (Standard Tire)
